First Name,Last Name,user_id,email,role,functional_unit,department,team,supervisor,NINO,address,city,county,postal,phone
Sara Gail,George,SGG0787,Sara.Gail.George@dtaa.com,Manager,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Todd Vance Spears,ZD397148D,,,,,01831-806301
Sarah Imelda,Juarez,SIJ0661,Sarah.Imelda.Juarez@dtaa.com,LabManager,2 - ResearchAndEngineering,1 - Research,4 - Lab,Summer Leilani Boyer,EV190978A,,,,,01932-112259
Byron Tyrone,Williamson,BTW0005,Byron.Tyrone.Williamson@dtaa.com,VicePresident,3 - Manufacturing,,,Mona Susan Shannon,VW401819A,,,,,01470-383444
Risa Laura,Bolton,RLB0719,Risa.Laura.Bolton@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,YL309784D,,,,,01963-124789
William Damian,Oconnor,WDO0870,William.Damian.Oconnor@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,US590130B,,,,,01906-807997
Kaden Chastity,Briggs,KCB0815,Kaden.Chastity.Briggs@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,DX895117D,,,,,01506-627051
Vincent Calvin,Young,VCY0751,Vincent.Calvin.Young@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,OP306397A,,,,,01954-643657
Brock Aladdin,Joyce,BAJ0654,Brock.Aladdin.Joyce@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,HQ742443A,,,,,01257-928278
Madonna Kristen,Love,MKL0941,Madonna.Kristen.Love@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,ET104843A,,,,,01567-457572
Dale Benjamin,Sharpe,DBS0235,Dale.Benjamin.Sharpe@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,SH379203A,,,,,01312-772111
Jael Jennifer,Hansen,JJH0613,Jael.Jennifer.Hansen@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,EK910769D,,,,,01600-986258
Ulric Ferdinand,Knapp,UFK0208,Ulric.Ferdinand.Knapp@dtaa.com,SecurityGuard,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,PV861589D,,,,,01416-686933
Brent Laith,Beck,BLB0114,Brent.Laith.Beck@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,QP172463B,,,,,01718-274321
Cheyenne Kay,Dickerson,CKD0680,Cheyenne.Kay.Dickerson@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,PJ867955A,,,,,01292-196869
Myra Kay,Greer,MKG0711,Myra.Kay.Greer@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,BG418707C,,,,,01573-788734
Illana Isabelle,Lamb,IIL0513,Illana.Isabelle.Lamb@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,QM041868B,,,,,01577-443040
TaShya Savannah,Mcgowan,TSM0363,TaShya.Savannah.Mcgowan@dtaa.com,ITAdmin,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,IG077113B,,,,,01867-720033
Price Bevis,Pittman,PBP0002,Price.Bevis.Pittman@dtaa.com,AdministrativeAssistant,,,,Mona Susan Shannon,GA508484D,,,,,01818-260618
Guy Tad,Daniel,GTD0898,Guy.Tad.Daniel@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,RX499930D,,,,,01724-644767
Calvin Jarrod,Hood,CJH0702,Calvin.Jarrod.Hood@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,RM171149D,,,,,01289-621482
Desirae Mari,Koch,DMK0257,Desirae.Mari.Koch@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,MC660869D,,,,,01448-395723
Willow Iliana,Quinn,WIQ0567,Willow.Iliana.Quinn@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,HI405188B,,,,,01891-816938
Peter Tad,Hartman,PTH0830,Peter.Tad.Hartman@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,UK531631A,,,,,01642-202972
Nicholas Cade,Owen,NCO0666,Nicholas.Cade.Owen@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,OW268276A,,,,,01924-111018
Maxwell Hammett,Green,MHG0733,Maxwell.Hammett.Green@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,NZ081079A,,,,,01559-323337
Robert Ali,Webb,RAW0915,Robert.Ali.Webb@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,PJ179604A,,,,,01248-325090
Hillary Ainsley,Mccormick,HAM0985,Hillary.Ainsley.Mccormick@dtaa.com,TechnicalTrainer,1 - Adminstration,3 - Training,,Walter Kaseem Foley,DB833017D,,,,,01590-219449
Serina Ariana,Butler,SAB0781,Serina.Ariana.Butler@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,MH389133C,,,,,01585-487560
Ira Benjamin,Mays,IBM0671,Ira.Benjamin.Mays@dtaa.com,Physicist,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,DN524361B,,,,,01255-805722
Yasir Dexter,Nelson,YDN0198,Yasir.Dexter.Nelson@dtaa.com,AdministrativeAssistant,6 - PurchasingAndContracts,2 - Pricing,,Eugenia Whilemina Harrington,JP705124B,,,,,01477-796750
Grace Alma,Fry,GAF0060,Grace.Alma.Fry@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,SF464132A,,,,,01308-582144
Alec Mannix,Mcneil,AMM0014,Alec.Mannix.Mcneil@dtaa.com,Director,1 - Adminstration,5 - Medical,,Halla Cathleen Simmons,EO281830A,,,,,01324-171614
Aquila Mark,Vega,AMV0036,Aquila.Mark.Vega@dtaa.com,SecurityGuard,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,GE686990C,,,,,01504-620944
Merritt Oliver,Phelps,MOP0763,Merritt.Oliver.Phelps@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,MK712056C,,,,,01886-226100
Callum Brendan,Gonzalez,CBG0490,Callum.Brendan.Gonzalez@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,UA333739C,,,,,01964-720542
Cameron Noel,Elliott,CNE0352,Cameron.Noel.Elliott@dtaa.com,ChiefEngineer,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Declan Lester Moss,UH425178D,,,,,01711-170147
Gil Quincy,Potter,GQP0743,Gil.Quincy.Potter@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,IE106585D,,,,,01674-842315
Philip Travis,Hartman,PTH0552,Philip.Travis.Hartman@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall,RN210639D,,,,,01972-770618
Garrison Levi,Rollins,GLR0975,Garrison.Levi.Rollins@dtaa.com,HumanResourceSpecialist,1 - Adminstration,1 - Personnel,,Bethany Xerxes Johnson,NU897921B,,,,,01753-327307
Blossom Keiko,Weiss,BKW0374,Blossom.Keiko.Weiss@dtaa.com,ITAdmin,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,JE999516D,,,,,01997-409950
Althea Ina,Palmer,AIP0982,Althea.Ina.Palmer@dtaa.com,ManagementTrainer,1 - Adminstration,3 - Training,,Walter Kaseem Foley,PO222017D,,,,,01388-974910
Kennedy Robert,Vega,KRV0372,Kennedy.Robert.Vega@dtaa.com,ITAdmin,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,YU912986B,,,,,01885-707109
Jocelyn Brenna,Daniels,JBD0616,Jocelyn.Brenna.Daniels@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,HD700612A,,,,,01329-303595
Roary Ursa,Massey,RUM0880,Roary.Ursa.Massey@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,UB876600A,,,,,01523-697097
Savannah Marcia,Yang,SMY0792,Savannah.Marcia.Yang@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,PL208726D,,,,,01593-438141
Harrison Oscar,Burke,HOB0994,Harrison.Oscar.Burke@dtaa.com,IndustrialEngineer,3 - Manufacturing,1 - IndustrialEngineering,,Grant Tyrone Doyle,YI544445B,,,,,01691-816025
Kirk Jakeem,Joyce,KJJ0293,Kirk.Jakeem.Joyce@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,MT312933A,,,,,01706-546951
Justin Xerxes,Hansen,JXH0493,Justin.Xerxes.Hansen@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,IX931798D,,,,,01215-422453
Josiah Preston,Wall,JPW0741,Josiah.Preston.Wall@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,ZG797830D,,,,,01407-775572
Nichole Melodie,Gilbert,NMG0766,Nichole.Melodie.Gilbert@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,HE086488A,,,,,01818-292728
Heidi Mia,Wilson,HMW0713,Heidi.Mia.Wilson@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,PU958530B,,,,,01467-554624
Malik Adrian,Hebert,MAH0864,Malik.Adrian.Hebert@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,JD183370C,,,,,01366-388506
Quentin Nolan,Fitzpatrick,QNF0205,Quentin.Nolan.Fitzpatrick@dtaa.com,Attorney,6 - PurchasingAndContracts,3 - Contracts,,Whoopi Britanney Camacho,XM549437B,,,,,01625-805645
Keane Kennan,Watts,KKW0879,Keane.Kennan.Watts@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,DB503595D,,,,,01470-609953
Reuben Victor,Freeman,RVF0201,Reuben.Victor.Freeman@dtaa.com,AdministrativeAssistant,6 - PurchasingAndContracts,3 - Contracts,,Whoopi Britanney Camacho,II642371C,,,,,01467-172590
Tobias Martin,Ashley,TMA0069,Tobias.Martin.Ashley@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,TE917481B,,,,,01903-614855
Salvador Byron,Norton,SBN0866,Salvador.Byron.Norton@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,FA995169D,,,,,01914-501391
Zenaida Justine,England,ZJE0857,Zenaida.Justine.England@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,SE875663A,,,,,01563-997671
Hasad Paki,Mcfadden,HPM0986,Hasad.Paki.Mcfadden@dtaa.com,InstructionalCoordinator,1 - Adminstration,3 - Training,,Walter Kaseem Foley,LP039390B,,,,,01919-394681
Cody Jonathan,Potter,CJP0952,Cody.Jonathan.Potter@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,VL515536A,,,,,01446-936944
Colt Walter,Reynolds,CWR0502,Colt.Walter.Reynolds@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,AX157080B,,,,,01721-747819
Summer Leilani,Boyer,SLB0049,Summer.Leilani.Boyer@dtaa.com,Director,2 - ResearchAndEngineering,1 - Research,,Kai Wynne Craft,ZD401002C,18 Thomas St,Barnham,West Sussex,PO22 0JT,01606-833878
Ira Dustin,Oneill,IDO0176,Ira.Dustin.Oneill@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,AM574778B,42 Hey Green Rd,Deepdale Ward,Lancashire,PR1 6TL,01478-392232
Alfonso Gage,Blankenship,AGB0186,Alfonso.Gage.Blankenship@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,TQ726384D,256 Vesuvius St #159,Stutton with Hazlewood,North Yorkshire,LS24 9UA,01994-675650
Roary Jane,Barrett,RJB0088,Roary.Jane.Barrett@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,ST316115B,82 Denison St #2642,Holyrood Ward,Greater Manchester,M25 1JB,01437-681317
Oren Curran,Brady,OCB0805,Oren.Curran.Brady@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,ZP358972A,1779 Bird St,East Sheen Ward,Greater London,SW14 8JZ,01286-317691
Elton Tyler,Richard,ETR0428,Elton.Tyler.Richard@dtaa.com,TestEngineer,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,QR245189D,99 College St South #1,Byker Ward,Tyne and Wear,NE6 2RX,01481-744296
Ivana Kaitlin,Parsons,IKP0472,Ivana.Kaitlin.Parsons@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,FT333395B,29 Greenleaf St,Llangristiolus Community,Isle of Anglesey,LL62 5HD,01285-381062
Leo Hasad,Byrd,LHB0967,Leo.Hasad.Byrd@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,HX573058D,39 Hooton Place,"Neilston, Uplawmoor and Newton",East Renfrewshire,G78 3AB,01373-594236
Chester Caldwell,Mendoza,CCM0467,Chester.Caldwell.Mendoza@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,UH415906B,198 Ranelagh Place,Central Buchan Ward,Aberdeenshire,AB43 6RD,01528-240870
Gage Kaden,Odonnell,GKO0078,Gage.Kaden.Odonnell@dtaa.com,ChiefEngineer,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Declan Lester Moss,CI214152D,353 Standish St #8264,Little Parndon and Hare Street,Hertfordshire,CM20 2HT,01275-397587
Garrett Nicholas,Solomon,GNS0178,Garrett.Nicholas.Solomon@dtaa.com,FieldServiceEngineer,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Sharon Britanni Kerr,GQ020673D,87 Eldon Place,Read,Lancashire,BB12 7RY,01619-237602
Sybill Sage,Shaw,SSS0345,Sybill.Sage.Shaw@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,FQ713286A,592 Catharine St,Blantyre Ward,South Lanarkshire,G72 0RZ,01872-808403
Adena Lisandra,Hardin,ALH0402,Adena.Lisandra.Hardin@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,FU708901B,1661 Arrow St,Kirk Hammerton,York,YO26 8DA,01251-120872
Anastasia Kylan,Kaufman,AKK0329,Anastasia.Kylan.Kaufman@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,XQ548116B,7 Netley St,Custom House Ward,Greater London,E16 3DP,01765-102036
Eugenia Whilemina,Harrington,EWH0191,Eugenia.Whilemina.Harrington@dtaa.com,Manager,6 - PurchasingAndContracts,2 - Pricing,,Kirby Bo Pollard,TY928136C,7 St Edmonds Rd,Nonington,Kent,CT15 4HH,01375-870188
Todd Vance,Spears,TVS0050,Todd.Vance.Spears@dtaa.com,Director,2 - ResearchAndEngineering,2 - SoftwareManagement,,Kai Wynne Craft,XO244051D,6996 Wrenbury St,Foleshill Ward,West Midlands,CV6 5RS,01885-270480
Troy Uriah,Conway,TUC0632,Troy.Uriah.Conway@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,WP968508D,2 Prince Rupert St,West Wickham Ward,Greater London,BR3 6SX,01979-186995
Sonia Karly,Goodwin,SKG0759,Sonia.Karly.Goodwin@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,RF855904C,9970 Clyde Rd,Woodham Ward,Surrey,KT15 3NW,01507-386397
Isabella Marah,Graham,IMG0320,Isabella.Marah.Graham@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,FH955789A,9 Fielding St,Wombourne,Staffordshire,WV5 0BB,01876-642683
Blair Bruno,Grimes,BBG0325,Blair.Bruno.Grimes@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,DM780087B,555 Ludlow St,Trowbridge,Wiltshire,BA14 9JB,01282-123434
Chanda Tamekah,William,CTW0500,Chanda.Tamekah.William@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,WT076484C,1 James St #4,St. Andrews Ward,Fife,KY16 9EE,01952-535977
Sonya Beatrice,Nichols,SBN0495,Sonya.Beatrice.Nichols@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,KV985385D,3 Byng St #524,Pinhoe Ward,Devon,EX1 3SF,01467-142439
Emerald Lysandra,Hodges,ELH0960,Emerald.Lysandra.Hodges@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,GV666920C,425 Howley St,Gaer Community,Newport,NP20 3DE,01990-476494
Thomas Shad,Guthrie,TSG0906,Thomas.Shad.Guthrie@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,ET219229A,4041 Virgil St,Headley,Surrey,KT18 6PZ,01242-532395
Jakeem Magee,Knight,JMK0099,Jakeem.Magee.Knight@dtaa.com,SystemsEngineer,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,AD634552A,32 High Park St #44,St. Margarets with St. Nichola,Norfolk,PE30 1QE,01567-555570
Macon Kyle,Pope,MKP0861,Macon.Kyle.Pope@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,LQ280652B,88 Vernon St,Dunbar and East Linton Ward,East Lothian,EH42 1SJ,01726-595316
Honorato Ivan,Wall,HIW0536,Honorato.Ivan.Wall@dtaa.com,LabManager,2 - ResearchAndEngineering,1 - Research,3 - Lab,Summer Leilani Boyer,JN355192D,62 Euston St,Bunhill Ward,Greater London,EC1Y 8RT,01982-734773
Cherokee Tashya,Ramirez,CTR0697,Cherokee.Tashya.Ramirez@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,PY843013B,74 Medlock St,Chorlton Park Ward,Greater Manchester,M20 1JG,01846-581451
Blaine Helen,Cervantes,BHC0665,Blaine.Helen.Cervantes@dtaa.com,FieldServiceEngineer,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Sharon Britanni Kerr,AY325826C,80 Talbot St,Edgeley and Cheadle Heath Ward,Cheshire,SK3 9RD,01888-641397
Wade Ira,Frazier,WIF0691,Wade.Ira.Frazier@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,PX926967A,31 Buckingham Ave #3785,Cotham Ward,Bristol,BS6 5SR,01504-539114
Hanae Wendy,Meyer,HWM0342,Hanae.Wendy.Meyer@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,GZ651428C,162 Grayson St,Greenlands Ward,Lancashire,FY2 0TD,01552-682601
Mufutau Nehru,Contreras,MNC0717,Mufutau.Nehru.Contreras@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,BS575246C,5 Webb St #8,Boothen and Oak Hill Ward,Stoke-on-Trent,ST4 1EB,01943-754681
Abel Reese,Boone,ARB0881,Abel.Reese.Boone@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,AE718341D,8092 Firdale Rd,Stoneygate Ward,Leicester,LE5 5RE,01441-846477
Azalia Halee,Cantu,AHC0142,Azalia.Halee.Cantu@dtaa.com,Engineer,3 - Manufacturing,4 - QualityControl,,Kimberley Kiona Sosa,JM260670A,68 Carno St,City and Hunslet Ward,West Yorkshire,LS10 1SJ,01273-236188
Zenia Freya,Macias,ZFM0468,Zenia.Freya.Macias@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,OD381894B,714 Moored St,Trelawnyd and Gwaenysgor Commu,Denbighshire,LL18 6DH,01502-139578
Delilah Iliana,Wilkinson,DIW0118,Delilah.Iliana.Wilkinson@dtaa.com,Manager,3 - Manufacturing,3 - Assembly,,Byron Tyrone Williamson,ZN060110C,545 North John St,Cobham and Downside Ward,Surrey,KT11 2HT,01724-467889
Upton Sebastian,Holt,USH0199,Upton.Sebastian.Holt@dtaa.com,Statistician,6 - PurchasingAndContracts,2 - Pricing,,Eugenia Whilemina Harrington,EA183842B,21 Pilgrim St,Leighton-Linslade,Bedfordshire,LU7 2NZ,01853-412588
Mallory Alexis,Daniel,MAD0753,Mallory.Alexis.Daniel@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,QQ206384D,9772 Teilo St,Hetton,Tyne and Wear,DH5 0PH,01333-436799
Kim Dara,Sullivan,KDS0349,Kim.Dara.Sullivan@dtaa.com,LabManager,2 - ResearchAndEngineering,1 - Research,2 - Lab,Summer Leilani Boyer,OX080517C,33 Fonthill Rd,Hodge Hill Ward,West Midlands,B36 8JE,01748-625058
Laith Jason,Britt,LJB0826,Laith.Jason.Britt@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,ZD905051A,3 Ivyleigh,Loundsley Green Ward,Derbyshire,S40 4LW,01916-963261
Farrah Kim,Keith,FKK0055,Farrah.Kim.Keith@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,,Summer Leilani Boyer,NU611754C,501 Sandon Terrace #200,Little Clacton,Essex,CO16 9LZ,01888-152110
Fletcher Perry,Cantu,FPC0954,Fletcher.Perry.Cantu@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,PR606791B,9 Duckenfield St,Aldbrough,E Riding of Yorkshire,HU11 4QA,01877-379681
Casey Xerxes,Conrad,CXC0336,Casey.Xerxes.Conrad@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,DA275452C,5466 Sedley St,Coatbridge South Ward,North Lanarkshire,ML5 4LJ,01451-785624
Fritz Dale,Ellison,FDE0117,Fritz.Dale.Ellison@dtaa.com,Manager,3 - Manufacturing,2 - ManufacturingEngineering,,Byron Tyrone Williamson,SX983500D,75 Brewster St #453,Redlands Ward,Berkshire,RG1 5EX,
Fatima Ulla,Mcclure,FUM0015,Fatima.Ulla.Mcclure@dtaa.com,Director,1 - Adminstration,6 - Security,,Halla Cathleen Simmons,CI448029A,7901 Beech St,St. Helier Ward,Greater London,SM4 5PY,
Nelle April,Bowen,NAB0801,Nelle.April.Bowen@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,ZD544756D,684 Cotswold St,Victoria Ward,Greater London,E9 7NG,
Geoffrey Jin,Tucker,GJT0386,Geoffrey.Jin.Tucker@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,YE275810C,5 April Rd #13,Wheatley Ward,South Yorkshire,DN1 2TU,
Kathleen Aline,Chan,KAC0124,Kathleen.Aline.Chan@dtaa.com,ElectricalEngineer,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison,MZ657870D,8 Village St,Windlesham,Surrey,GU18 5YQ,
Charde Cynthia,Rasmussen,CCR0863,Charde.Cynthia.Rasmussen@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,TP368555C,7 Haddock St #34,Saint Annes on the Sea,Lancashire,FY8 3TF,
Tiger Tucker,Dawson,TTD1000,Tiger.Tucker.Dawson@dtaa.com,MechanicalEngineer,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison,QD719983A,9 Mather St,Sutton Vesey Ward,West Midlands,B73 6HH,
Oleg Kane,Britt,OKB0439,Oleg.Kane.Britt@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,XU740404A,70 Rose Vale,Reydon,Suffolk,IP18 6PE,
Xander Aaron,Acevedo,XAA0104,Xander.Aaron.Acevedo@dtaa.com,HardwareEngineer,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,EU659177D,29 Oregon St,Ruddington,Nottinghamshire,NG11 6JT,
Reuben Fulton,Pugh,RFP0380,Reuben.Fulton.Pugh@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,OS772750C,15 East Albert Rd,Kingston Bagpuize with Southmo,Oxfordshire,OX13 5AW,
Josiah Thaddeus,Stewart,JTS0389,Josiah.Thaddeus.Stewart@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,BB887183A,3186 Naylor St,Manor Castle Ward,South Yorkshire,S2 1HP,
Cameran Madonna,Shepard,CMS0454,Cameran.Madonna.Shepard@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,WX214568B,9 Herbert St #77,Shenley,Hertfordshire,WD7 9AQ,
Jaden Kylan,Buckley,JKB0126,Jaden.Kylan.Buckley@dtaa.com,ElectricalEngineer,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison,LR358113A,9830 Croxteth Rd,Pontefract North Ward,West Yorkshire,WF8 3YR,
Lillith Adena,Matthews,LAM0911,Lillith.Adena.Matthews@dtaa.com,LabManager,2 - ResearchAndEngineering,1 - Research,6 - Lab,Summer Leilani Boyer,CH177772A,1054 Gladys St,Bellshill Ward,North Lanarkshire,ML4 3EJ,
